drugbank_id,interactant_id,polypeptide_id,category,description
DB00083,BE0000530,P02768,function,protein-folding chaperone binding
DB00083,BE0000530,P02768,process,cellular response to calcium ion starvation
DB00083,BE0000530,P02768,process,negative regulation of mitochondrial depolarization
DB00104,BE0000530,P02768,component,cytoplasm
DB00104,BE0000530,P02768,component,endoplasmic reticulum lumen
DB00104,BE0000530,P02768,component,protein-containing complex
DB00104,BE0000530,P02768,function,enterobactin binding
DB00104,BE0000530,P02768,function,exogenous protein binding
DB00104,BE0000530,P02768,function,identical protein binding
DB00104,BE0000530,P02768,function,protein-folding chaperone binding
DB00104,BE0000530,P02768,process,cellular response to calcium ion starvation
DB00104,BE0000530,P02768,process,negative regulation of mitochondrial depolarization
DB00107,BE0000751,P01178,component,neuronal dense core vesicle
DB00107,BE0000751,P01178,function,neurohypophyseal hormone activity
DB00107,BE0000751,P01178,function,neuropeptide hormone activity
DB00107,BE0000751,P01178,function,oxytocin receptor binding
DB00107,BE0000751,P01178,function,V1A vasopressin receptor binding
DB00107,BE0000751,P01178,process,positive regulation of cold-induced thermogenesis
DB00107,BE0000751,P01178,process,response to food
DB00126,BE0000530,P02768,component,cytoplasm
DB00126,BE0000530,P02768,component,endoplasmic reticulum lumen
DB00126,BE0000530,P02768,component,protein-containing complex
DB00126,BE0000530,P02768,function,enterobactin binding
DB00126,BE0000530,P02768,function,exogenous protein binding
DB00126,BE0000530,P02768,function,identical protein binding
DB00126,BE0000530,P02768,function,protein-folding chaperone binding
DB00126,BE0000530,P02768,process,cellular response to calcium ion starvation
DB00126,BE0000530,P02768,process,negative regulation of mitochondrial depolarization
DB00132,BE0001821,O15540,component,nucleus
DB00132,BE0001821,O15540,function,fatty acid binding
DB00132,BE0001821,O15540,process,fatty acid transport
DB00132,BE0001821,O15540,process,negative regulation of cell population proliferation
DB00136,BE0001141,P02774,component,cytoplasm
DB00136,BE0001141,P02774,function,vitamin transmembrane transporter activity
DB00137,BE0000530,P02768,component,cytoplasm
DB00137,BE0000530,P02768,component,endoplasmic reticulum lumen
DB00137,BE0000530,P02768,component,protein-containing complex
DB00137,BE0000530,P02768,function,enterobactin binding
DB00137,BE0000530,P02768,function,exogenous protein binding
DB00137,BE0000530,P02768,function,identical protein binding
DB00137,BE0000530,P02768,function,protein-folding chaperone binding
DB00137,BE0000530,P02768,process,cellular response to calcium ion starvation
DB00137,BE0000530,P02768,process,negative regulation of mitochondrial depolarization
DB00152,BE0000530,P02768,component,cytoplasm
DB00152,BE0000530,P02768,component,endoplasmic reticulum lumen
DB00152,BE0000530,P02768,component,protein-containing complex
DB00152,BE0000530,P02768,function,enterobactin binding
DB00152,BE0000530,P02768,function,exogenous protein binding
DB00152,BE0000530,P02768,function,identical protein binding
DB00152,BE0000530,P02768,function,protein-folding chaperone binding
DB00152,BE0000530,P02768,process,cellular response to calcium ion starvation
DB00152,BE0000530,P02768,process,negative regulation of mitochondrial depolarization
DB00153,BE0001141,P02774,component,cytoplasm
DB00153,BE0001141,P02774,function,vitamin transmembrane transporter activity
DB00154,BE0001821,O15540,component,nucleus
DB00154,BE0001821,O15540,function,fatty acid binding
DB00154,BE0001821,O15540,process,fatty acid transport
DB00154,BE0001821,O15540,process,negative regulation of cell population proliferation
DB00159,BE0000530,P02768,component,cytoplasm
DB00159,BE0000530,P02768,component,endoplasmic reticulum lumen
DB00159,BE0000530,P02768,component,protein-containing complex
DB00159,BE0000530,P02768,function,enterobactin binding
DB00159,BE0000530,P02768,function,exogenous protein binding
DB00159,BE0000530,P02768,function,identical protein binding
DB00159,BE0000530,P02768,function,protein-folding chaperone binding
DB00159,BE0000530,P02768,process,cellular response to calcium ion starvation
DB00159,BE0000530,P02768,process,negative regulation of mitochondrial depolarization
DB00162,BE0000530,P02768,component,cytoplasm
DB00162,BE0000530,P02768,component,endoplasmic reticulum lumen
DB00162,BE0000530,P02768,component,protein-containing complex
DB00162,BE0000530,P02768,function,enterobactin binding
DB00162,BE0000530,P02768,function,exogenous protein binding
DB00162,BE0000530,P02768,function,identical protein binding
DB00162,BE0000530,P02768,function,protein-folding chaperone binding
DB00162,BE0000530,P02768,process,cellular response to calcium ion starvation
DB00162,BE0000530,P02768,process,negative regulation of mitochondrial depolarization
DB00162,BE0000786,P12271,component,centrosome
DB00162,BE0000786,P12271,component,nucleoplasm
DB00162,BE0000786,P12271,function,phosphatidylinositol bisphosphate binding
DB00162,BE0000255,P10745,component,cone matrix sheath
DB00162,BE0000255,P10745,process,proteolysis
DB00162,BE0000301,P09455,component,lipid droplet
DB00162,BE0000301,P09455,component,nucleus
DB00162,BE0000301,P09455,function,all-trans-retinol binding
DB00162,BE0000301,P09455,function,fatty acid binding
DB00162,BE0000301,P09455,process,fatty acid transport
DB00162,BE0000301,P09455,process,lipid homeostasis
DB00162,BE0000682,P82980,component,cytosol
DB00162,BE0000682,P82980,component,nucleus
DB00162,BE0000682,P82980,function,fatty acid binding
DB00162,BE0000682,P82980,process,fatty acid transport
DB00162,BE0000532,Q96R05,component,cytosol
DB00162,BE0000532,Q96R05,component,nucleus
DB00162,BE0000532,Q96R05,function,fatty acid binding
DB00162,BE0000532,Q96R05,process,fatty acid transport
DB00162,BE0000314,P02753,function,retinol transmembrane transporter activity
DB00162,BE0000314,P02753,process,positive regulation of immunoglobulin production
DB00162,BE0000505,P50120,component,nucleus
DB00162,BE0000505,P50120,function,fatty acid binding
DB00162,BE0000505,P50120,process,fatty acid transport
DB00163,BE0000256,O76054,component,nucleoplasm
DB00163,BE0000256,O76054,process,positive regulation of DNA-templated transcription
DB00163,BE0000339,Q9UDX4,component,cytoplasm
DB00163,BE0009656,P55058,component,nucleus
DB00163,BE0009656,P55058,function,ceramide transfer activity
DB00163,BE0009656,P55058,function,cerebroside transfer activity
DB00163,BE0009656,P55058,function,cholesterol transfer activity
DB00163,BE0009656,P55058,function,diacylglyceride transfer activity
DB00163,BE0009656,P55058,function,high-density lipoprotein particle binding
DB00163,BE0009656,P55058,function,low-density lipoprotein particle binding
DB00163,BE0009656,P55058,function,phosphatidic acid transfer activity
DB00163,BE0009656,P55058,function,phosphatidylcholine transfer activity
DB00163,BE0009656,P55058,function,phosphatidylethanolamine transfer activity
DB00163,BE0009656,P55058,function,phosphatidylglycerol transfer activity
DB00163,BE0009656,P55058,function,phosphatidylinositol transfer activity
DB00163,BE0009656,P55058,function,phospholipid transfer activity
DB00163,BE0009656,P55058,function,sphingomyelin transfer activity
DB00163,BE0009656,P55058,function,very-low-density lipoprotein particle binding
DB00163,BE0009656,P55058,process,glycolipid transport
DB00163,BE0000643,P49638,function,lipid transfer activity
DB00163,BE0000643,P49638,function,phosphatidylinositol bisphosphate binding
DB00163,BE0000643,P49638,process,intermembrane lipid transfer
DB00163,BE0000643,P49638,process,positive regulation of amyloid-beta clearance
DB00165,BE0000530,P02768,component,cytoplasm
DB00165,BE0000530,P02768,component,endoplasmic reticulum lumen
DB00165,BE0000530,P02768,component,protein-containing complex
DB00165,BE0000530,P02768,function,enterobactin binding
DB00165,BE0000530,P02768,function,exogenous protein binding
DB00165,BE0000530,P02768,function,identical protein binding
DB00165,BE0000530,P02768,function,protein-folding chaperone binding
DB00165,BE0000530,P02768,process,cellular response to calcium ion starvation
DB00165,BE0000530,P02768,process,negative regulation of mitochondrial depolarization
DB00169,BE0001141,P02774,component,cytoplasm
DB00169,BE0001141,P02774,function,vitamin transmembrane transporter activity
DB00180,BE0000209,P08185,component,extracellular region
DB00200,BE0000362,P20062,component,external side of plasma membrane
DB00200,BE0000362,P20062,component,plasma membrane
DB00200,BE0000362,P20062,function,cargo receptor ligand activity
DB00214,BE0000530,P02768,component,cytoplasm
DB00214,BE0000530,P02768,component,endoplasmic reticulum lumen
DB00214,BE0000530,P02768,component,protein-containing complex
DB00214,BE0000530,P02768,function,enterobactin binding
DB00214,BE0000530,P02768,function,exogenous protein binding
DB00214,BE0000530,P02768,function,identical protein binding
DB00214,BE0000530,P02768,function,protein-folding chaperone binding
DB00214,BE0000530,P02768,process,cellular response to calcium ion starvation
DB00214,BE0000530,P02768,process,negative regulation of mitochondrial depolarization
DB00220,BE0000530,P02768,component,cytoplasm
DB00220,BE0000530,P02768,component,endoplasmic reticulum lumen
DB00220,BE0000530,P02768,component,protein-containing complex
DB00220,BE0000530,P02768,function,enterobactin binding
DB00220,BE0000530,P02768,function,exogenous protein binding
DB00220,BE0000530,P02768,function,identical protein binding
DB00220,BE0000530,P02768,function,protein-folding chaperone binding
DB00220,BE0000530,P02768,process,cellular response to calcium ion starvation
DB00220,BE0000530,P02768,process,negative regulation of mitochondrial depolarization
DB00220,BE0000925,P02763,component,collagen-containing extracellular matrix
DB00220,BE0000925,P02763,component,platelet alpha granule lumen
DB00220,BE0000925,P02763,component,specific granule lumen
DB00220,BE0000925,P02763,component,tertiary granule lumen
DB00220,BE0000925,P02763,process,positive regulation of interleukin-1 beta production
DB00220,BE0000925,P02763,process,positive regulation of interleukin-1 production
DB00220,BE0000925,P02763,process,positive regulation of tumor necrosis factor production
DB00227,BE0000530,P02768,component,cytoplasm
DB00227,BE0000530,P02768,component,endoplasmic reticulum lumen
DB00227,BE0000530,P02768,component,protein-containing complex
DB00227,BE0000530,P02768,function,enterobactin binding
DB00227,BE0000530,P02768,function,exogenous protein binding
DB00227,BE0000530,P02768,function,identical protein binding
DB00227,BE0000530,P02768,function,protein-folding chaperone binding
DB00227,BE0000530,P02768,process,cellular response to calcium ion starvation
DB00227,BE0000530,P02768,process,negative regulation of mitochondrial depolarization
DB00228,BE0000530,P02768,component,cytoplasm
DB00228,BE0000530,P02768,component,endoplasmic reticulum lumen
DB00228,BE0000530,P02768,component,protein-containing complex
DB00228,BE0000530,P02768,function,enterobactin binding
DB00228,BE0000530,P02768,function,exogenous protein binding
DB00228,BE0000530,P02768,function,identical protein binding
DB00228,BE0000530,P02768,function,protein-folding chaperone binding
DB00228,BE0000530,P02768,process,cellular response to calcium ion starvation
DB00228,BE0000530,P02768,process,negative regulation of mitochondrial depolarization
DB00237,BE0000530,P02768,component,cytoplasm
DB00237,BE0000530,P02768,component,endoplasmic reticulum lumen
DB00237,BE0000530,P02768,component,protein-containing complex
DB00237,BE0000530,P02768,function,enterobactin binding
DB00237,BE0000530,P02768,function,exogenous protein binding
DB00237,BE0000530,P02768,function,identical protein binding
DB00237,BE0000530,P02768,function,protein-folding chaperone binding
DB00237,BE0000530,P02768,process,cellular response to calcium ion starvation
DB00237,BE0000530,P02768,process,negative regulation of mitochondrial depolarization
DB00238,BE0000530,P02768,component,cytoplasm
DB00238,BE0000530,P02768,component,endoplasmic reticulum lumen
DB00238,BE0000530,P02768,component,protein-containing complex
DB00238,BE0000530,P02768,function,enterobactin binding
DB00238,BE0000530,P02768,function,exogenous protein binding
DB00238,BE0000530,P02768,function,identical protein binding
DB00238,BE0000530,P02768,function,protein-folding chaperone binding
DB00238,BE0000530,P02768,process,cellular response to calcium ion starvation
DB00238,BE0000530,P02768,process,negative regulation of mitochondrial depolarization
DB00240,BE0000209,P08185,component,extracellular region
DB00243,BE0000925,P02763,component,collagen-containing extracellular matrix
DB00243,BE0000925,P02763,component,platelet alpha granule lumen
DB00243,BE0000925,P02763,component,specific granule lumen
DB00243,BE0000925,P02763,component,tertiary granule lumen
DB00243,BE0000925,P02763,process,positive regulation of interleukin-1 beta production
DB00243,BE0000925,P02763,process,positive regulation of interleukin-1 production
DB00243,BE0000925,P02763,process,positive regulation of tumor necrosis factor production
DB00245,BE0000530,P02768,component,cytoplasm
DB00245,BE0000530,P02768,component,endoplasmic reticulum lumen
DB00245,BE0000530,P02768,component,protein-containing complex
DB00245,BE0000530,P02768,function,enterobactin binding
DB00245,BE0000530,P02768,function,exogenous protein binding
DB00245,BE0000530,P02768,function,identical protein binding
DB00245,BE0000530,P02768,function,protein-folding chaperone binding
DB00245,BE0000530,P02768,process,cellular response to calcium ion starvation
DB00245,BE0000530,P02768,process,negative regulation of mitochondrial depolarization
DB00246,BE0000530,P02768,component,cytoplasm
DB00246,BE0000530,P02768,component,endoplasmic reticulum lumen
DB00246,BE0000530,P02768,component,protein-containing complex
DB00246,BE0000530,P02768,function,enterobactin binding
DB00246,BE0000530,P02768,function,exogenous protein binding
DB00246,BE0000530,P02768,function,identical protein binding
DB00246,BE0000530,P02768,function,protein-folding chaperone binding
DB00246,BE0000530,P02768,process,cellular response to calcium ion starvation
DB00246,BE0000530,P02768,process,negative regulation of mitochondrial depolarization
DB00246,BE0000925,P02763,component,collagen-containing extracellular matrix
DB00246,BE0000925,P02763,component,platelet alpha granule lumen
DB00246,BE0000925,P02763,component,specific granule lumen
DB00246,BE0000925,P02763,component,tertiary granule lumen
DB00246,BE0000925,P02763,process,positive regulation of interleukin-1 beta production
DB00246,BE0000925,P02763,process,positive regulation of interleukin-1 production
DB00246,BE0000925,P02763,process,positive regulation of tumor necrosis factor production
DB00252,BE0000530,P02768,component,cytoplasm
DB00252,BE0000530,P02768,component,endoplasmic reticulum lumen
DB00252,BE0000530,P02768,component,protein-containing complex
DB00252,BE0000530,P02768,function,enterobactin binding
DB00252,BE0000530,P02768,function,exogenous protein binding
DB00252,BE0000530,P02768,function,identical protein binding
DB00252,BE0000530,P02768,function,protein-folding chaperone binding
DB00252,BE0000530,P02768,process,cellular response to calcium ion starvation
DB00252,BE0000530,P02768,process,negative regulation of mitochondrial depolarization
DB00253,BE0000209,P08185,component,extracellular region
DB00254,BE0000530,P02768,component,cytoplasm
DB00254,BE0000530,P02768,component,endoplasmic reticulum lumen
DB00254,BE0000530,P02768,component,protein-containing complex
DB00254,BE0000530,P02768,function,enterobactin binding
DB00254,BE0000530,P02768,function,exogenous protein binding
DB00254,BE0000530,P02768,function,identical protein binding
DB00254,BE0000530,P02768,function,protein-folding chaperone binding
DB00254,BE0000530,P02768,process,cellular response to calcium ion starvation
DB00254,BE0000530,P02768,process,negative regulation of mitochondrial depolarization
DB00255,BE0000337,P02766,component,azurophil granule lumen
DB00255,BE0000337,P02766,function,hormone activity
DB00255,BE0000337,P02766,function,thyroid hormone binding
DB00255,BE0000337,P02766,process,purine nucleobase metabolic process
DB00264,BE0000530,P02768,component,cytoplasm
DB00264,BE0000530,P02768,component,endoplasmic reticulum lumen
DB00264,BE0000530,P02768,component,protein-containing complex
DB00264,BE0000530,P02768,function,enterobactin binding
DB00264,BE0000530,P02768,function,exogenous protein binding
DB00264,BE0000530,P02768,function,identical protein binding
DB00264,BE0000530,P02768,function,protein-folding chaperone binding
DB00264,BE0000530,P02768,process,cellular response to calcium ion starvation
DB00264,BE0000530,P02768,process,negative regulation of mitochondrial depolarization
DB00266,BE0000530,P02768,component,cytoplasm
DB00266,BE0000530,P02768,component,endoplasmic reticulum lumen
DB00266,BE0000530,P02768,component,protein-containing complex
DB00266,BE0000530,P02768,function,enterobactin binding
DB00266,BE0000530,P02768,function,exogenous protein binding
DB00266,BE0000530,P02768,function,identical protein binding
DB00266,BE0000530,P02768,function,protein-folding chaperone binding
DB00266,BE0000530,P02768,process,cellular response to calcium ion starvation
DB00266,BE0000530,P02768,process,negative regulation of mitochondrial depolarization
DB00273,BE0000530,P02768,component,cytoplasm
DB00273,BE0000530,P02768,component,endoplasmic reticulum lumen
DB00273,BE0000530,P02768,component,protein-containing complex
DB00273,BE0000530,P02768,function,enterobactin binding
DB00273,BE0000530,P02768,function,exogenous protein binding
DB00273,BE0000530,P02768,function,identical protein binding
DB00273,BE0000530,P02768,function,protein-folding chaperone binding
DB00273,BE0000530,P02768,process,cellular response to calcium ion starvation
DB00273,BE0000530,P02768,process,negative regulation of mitochondrial depolarization
DB00274,BE0000530,P02768,component,cytoplasm
DB00274,BE0000530,P02768,component,endoplasmic reticulum lumen
DB00274,BE0000530,P02768,component,protein-containing complex
DB00274,BE0000530,P02768,function,enterobactin binding
DB00274,BE0000530,P02768,function,exogenous protein binding
DB00274,BE0000530,P02768,function,identical protein binding
DB00274,BE0000530,P02768,function,protein-folding chaperone binding
DB00274,BE0000530,P02768,process,cellular response to calcium ion starvation
DB00274,BE0000530,P02768,process,negative regulation of mitochondrial depolarization
DB00278,BE0000530,P02768,component,cytoplasm
DB00278,BE0000530,P02768,component,endoplasmic reticulum lumen
DB00278,BE0000530,P02768,component,protein-containing complex
DB00278,BE0000530,P02768,function,enterobactin binding
DB00278,BE0000530,P02768,function,exogenous protein binding
DB00278,BE0000530,P02768,function,identical protein binding
DB00278,BE0000530,P02768,function,protein-folding chaperone binding
DB00278,BE0000530,P02768,process,cellular response to calcium ion starvation
DB00278,BE0000530,P02768,process,negative regulation of mitochondrial depolarization
DB00278,BE0004879,P02763,component,collagen-containing extracellular matrix
DB00278,BE0004879,P02763,component,platelet alpha granule lumen
DB00278,BE0004879,P02763,component,specific granule lumen
DB00278,BE0004879,P02763,component,tertiary granule lumen
DB00278,BE0004879,P02763,process,positive regulation of interleukin-1 beta production
DB00278,BE0004879,P02763,process,positive regulation of interleukin-1 production
DB00278,BE0004879,P02763,process,positive regulation of tumor necrosis factor production
DB00278,BE0004879,P19652,component,azurophil granule lumen
DB00278,BE0004879,P19652,component,collagen-containing extracellular matrix
DB00278,BE0004879,P19652,component,extracellular region
DB00278,BE0004879,P19652,component,platelet alpha granule lumen
DB00278,BE0004879,P19652,component,specific granule lumen
DB00278,BE0004879,P19652,process,positive regulation of interleukin-1 beta production
DB00278,BE0004879,P19652,process,positive regulation of interleukin-1 production
DB00278,BE0004879,P19652,process,positive regulation of tumor necrosis factor production
DB00279,BE0000337,P02766,component,azurophil granule lumen
DB00279,BE0000337,P02766,function,hormone activity
DB00279,BE0000337,P02766,function,thyroid hormone binding
DB00279,BE0000337,P02766,process,purine nucleobase metabolic process
DB00279,BE0000530,P02768,component,cytoplasm
DB00279,BE0000530,P02768,component,endoplasmic reticulum lumen
DB00279,BE0000530,P02768,component,protein-containing complex
DB00279,BE0000530,P02768,function,enterobactin binding
DB00279,BE0000530,P02768,function,exogenous protein binding
DB00279,BE0000530,P02768,function,identical protein binding
DB00279,BE0000530,P02768,function,protein-folding chaperone binding
DB00279,BE0000530,P02768,process,cellular response to calcium ion starvation
DB00279,BE0000530,P02768,process,negative regulation of mitochondrial depolarization
DB00280,BE0000925,P02763,component,collagen-containing extracellular matrix
DB00280,BE0000925,P02763,component,platelet alpha granule lumen
DB00280,BE0000925,P02763,component,specific granule lumen
DB00280,BE0000925,P02763,component,tertiary granule lumen
DB00280,BE0000925,P02763,process,positive regulation of interleukin-1 beta production
DB00280,BE0000925,P02763,process,positive regulation of interleukin-1 production
DB00280,BE0000925,P02763,process,positive regulation of tumor necrosis factor production
DB00286,BE0000685,P04278,function,steroid binding
DB00286,BE0000530,P02768,component,cytoplasm
DB00286,BE0000530,P02768,component,endoplasmic reticulum lumen
DB00286,BE0000530,P02768,component,protein-containing complex
DB00286,BE0000530,P02768,function,enterobactin binding
DB00286,BE0000530,P02768,function,exogenous protein binding
DB00286,BE0000530,P02768,function,identical protein binding
DB00286,BE0000530,P02768,function,protein-folding chaperone binding
DB00286,BE0000530,P02768,process,cellular response to calcium ion starvation
DB00286,BE0000530,P02768,process,negative regulation of mitochondrial depolarization
DB00289,BE0000530,P02768,component,cytoplasm
DB00289,BE0000530,P02768,component,endoplasmic reticulum lumen
DB00289,BE0000530,P02768,component,protein-containing complex
DB00289,BE0000530,P02768,function,enterobactin binding
DB00289,BE0000530,P02768,function,exogenous protein binding
DB00289,BE0000530,P02768,function,identical protein binding
DB00289,BE0000530,P02768,function,protein-folding chaperone binding
DB00289,BE0000530,P02768,process,cellular response to calcium ion starvation
DB00289,BE0000530,P02768,process,negative regulation of mitochondrial depolarization
DB00289,BE0004879,P02763,component,collagen-containing extracellular matrix
DB00289,BE0004879,P02763,component,platelet alpha granule lumen
DB00289,BE0004879,P02763,component,specific granule lumen
DB00289,BE0004879,P02763,component,tertiary granule lumen
DB00289,BE0004879,P02763,process,positive regulation of interleukin-1 beta production
DB00289,BE0004879,P02763,process,positive regulation of interleukin-1 production
DB00289,BE0004879,P02763,process,positive regulation of tumor necrosis factor production
DB00289,BE0004879,P19652,component,azurophil granule lumen
DB00289,BE0004879,P19652,component,collagen-containing extracellular matrix
DB00289,BE0004879,P19652,component,extracellular region
DB00289,BE0004879,P19652,component,platelet alpha granule lumen
DB00289,BE0004879,P19652,component,specific granule lumen
DB00289,BE0004879,P19652,process,positive regulation of interleukin-1 beta production
DB00289,BE0004879,P19652,process,positive regulation of interleukin-1 production
DB00289,BE0004879,P19652,process,positive regulation of tumor necrosis factor production
DB00289,BE0000710,P12314,component,external side of plasma membrane
DB00289,BE0000710,P12314,function,high-affinity IgG receptor activity
DB00289,BE0000710,P12314,function,IgG binding
DB00289,BE0000710,P12314,function,IgG receptor activity
DB00289,BE0000710,P12314,process,antibody-dependent cellular cytotoxicity
DB00289,BE0000710,P12314,process,cell surface receptor signaling pathway
DB00289,BE0000710,P12314,process,defense response to bacterium
DB00289,BE0000710,P12314,process,Fc-gamma receptor signaling pathway
DB00289,BE0000710,P12314,process,"phagocytosis, recognition"
DB00289,BE0000710,P12314,process,positive regulation of phagocytosis
DB00289,BE0000710,P12314,process,positive regulation of type IIa hypersensitivity
DB00289,BE0000710,P12314,process,positive regulation of type III hypersensitivity
DB00289,BE0000710,P12314,process,receptor-mediated endocytosis
DB00292,BE0001057,P11166,component,apical plasma membrane
DB00292,BE0001057,P11166,component,female germ cell nucleus
DB00292,BE0001057,P11166,component,glucose transporter complex
DB00292,BE0001057,P11166,component,intercalated disc
DB00292,BE0001057,P11166,component,photoreceptor inner segment
DB00292,BE0001057,P11166,component,presynapse
DB00292,BE0001057,P11166,component,sarcolemma
DB00292,BE0001057,P11166,component,Z disc
DB00292,BE0001057,P11166,function,dehydroascorbic acid transmembrane transporter activity
DB00292,BE0001057,P11166,function,kinase binding
DB00292,BE0001057,P11166,function,long-chain fatty acid transmembrane transporter activity
DB00292,BE0001057,P11166,function,xenobiotic transmembrane transporter activity
DB00292,BE0001057,P11166,process,cellular hyperosmotic response
DB00292,BE0001057,P11166,process,cellular response to mechanical stimulus
DB00292,BE0001057,P11166,process,central nervous system development
DB00292,BE0001057,P11166,process,cerebral cortex development
DB00292,BE0001057,P11166,process,dehydroascorbic acid transport
DB00292,BE0001057,P11166,process,female pregnancy
DB00292,BE0001057,P11166,process,glucose import
DB00292,BE0001057,P11166,process,glucose import across plasma membrane
DB00292,BE0001057,P11166,process,long-chain fatty acid import across plasma membrane
DB00292,BE0001057,P11166,process,photoreceptor cell maintenance
DB00292,BE0001057,P11166,process,protein-containing complex assembly
DB00292,BE0001057,P11166,process,response to hypoxia
DB00292,BE0001057,P11166,process,response to insulin
DB00292,BE0001057,P11166,process,response to Thyroglobulin triiodothyronine
DB00292,BE0001057,P11166,process,transport across blood-brain barrier
DB00294,BE0000530,P02768,component,cytoplasm
DB00294,BE0000530,P02768,component,endoplasmic reticulum lumen
DB00294,BE0000530,P02768,component,protein-containing complex
DB00294,BE0000530,P02768,function,enterobactin binding
DB00294,BE0000530,P02768,function,exogenous protein binding
DB00294,BE0000530,P02768,function,identical protein binding
DB00294,BE0000530,P02768,function,protein-folding chaperone binding
DB00294,BE0000530,P02768,process,cellular response to calcium ion starvation
DB00294,BE0000530,P02768,process,negative regulation of mitochondrial depolarization
DB00294,BE0000685,P04278,function,steroid binding
DB00295,BE0000530,P02768,component,cytoplasm
